id,text_snippet,labels,extracted_entities
598,"The data pipeline looks great, but the discount is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
599,"We like your product, but MediPlus offers better data pipeline. The automation looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
600,"The remote monitoring looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
601,"We like your product, but CompetitorY offers better automation. The analytics looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['analytics', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
602,"The remote monitoring looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['data compliance'], 'other_entities': []}"
603,"We like your product, but MediPlus offers better AI engine. The remote monitoring looks great, but the subscription cost is too high.","Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
604,"We like your product, but MediPlus offers better automation. The automation looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['analytics', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
605,"We like your product, but CompetitorX offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
606,"We like your product, but CompetitorZ offers better AI engine. The analytics looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'AI engine', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['data compliance'], 'other_entities': []}"
607,"We like your product, but CompetitorZ offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorZ'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
608,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
609,"We like your product, but CompetitorZ offers better automation. The data pipeline looks great, but the pricing model is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'automation', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
610,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
611,"The data pipeline looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['data compliance'], 'other_entities': []}"
612,"We like your product, but CompetitorZ offers better remote monitoring. The automation looks great, but the budget is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['remote monitoring', 'automation'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
613,Is your solution privacy policy? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
614,I’m not sure if analytics solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
615,"The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.",rand,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
616,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
617,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
618,"We like your product, but CompetitorZ offers better remote monitoring. The analytics looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorZ'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['budget'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
619,"The AI engine looks great, but the subscription cost is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
620,"The data pipeline looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
621,"The remote monitoring looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
622,I’m not sure if AI engine solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
623,Is your solution privacy policy? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
624,"We like your product, but MediPlus offers better automation. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['MediPlus'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
625,"The automation looks great, but the subscription cost is too high.",rand,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
626,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
627,"We like your product, but CompetitorX offers better AI engine. The data pipeline looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
628,"The analytics looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
629,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
630,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
631,Is your solution encryption? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
632,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
633,"We like your product, but MediPlus offers better automation.",Competition,"{'competitors': ['MediPlus'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
634,Is your solution privacy policy? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
635,"We like your product, but TechCorp offers better remote monitoring. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['TechCorp'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
636,"We like your product, but CompetitorY offers better analytics. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorY'], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
637,"The AI engine looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
638,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
639,"We like your product, but CompetitorY offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorY'], 'features': ['remote monitoring', 'automation'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
640,Is your solution privacy policy? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
641,"We like your product, but CompetitorX offers better AI engine. Is your solution encryption? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorX'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
642,"We like your product, but MediPlus offers better data pipeline. The AI engine looks great, but the discount is too high.","Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
643,"The remote monitoring looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
644,Is your solution encryption? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
645,"The data pipeline looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
646,"We like your product, but CompetitorY offers better remote monitoring. The automation looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['remote monitoring', 'automation'], 'pricing_keywords': ['budget'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
647,"We like your product, but CompetitorY offers better automation.",Competition,"{'competitors': ['CompetitorY'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
648,"The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': ['encryption'], 'other_entities': []}"
649,"The AI engine looks great, but the pricing model is too high.",Pricing Discussion,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
650,"We like your product, but CompetitorZ offers better automation. The analytics looks great, but the subscription cost is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'remote monitoring', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
651,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
652,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
653,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
654,"We like your product, but MediPlus offers better analytics.",rand,"{'competitors': ['MediPlus'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
655,"We like your product, but CompetitorY offers better analytics. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorY'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
656,"We like your product, but MediPlus offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition","{'competitors': ['MediPlus'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
657,"We like your product, but CompetitorY offers better AI engine.",Competition,"{'competitors': ['CompetitorY'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
658,"The data pipeline looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
659,Is your solution privacy policy? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
660,Is your solution data compliance? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
661,"We like your product, but TechCorp offers better automation. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['TechCorp'], 'features': ['remote monitoring', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
662,"The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
663,"We like your product, but CompetitorX offers better analytics. The AI engine looks great, but the discount is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
664,"We like your product, but CompetitorY offers better automation. The data pipeline looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorY'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
665,"The data pipeline looks great, but the pricing model is too high.",Pricing Discussion,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
666,"We like your product, but CompetitorX offers better analytics. The analytics looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorX'], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
667,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
668,"We like your product, but TechCorp offers better analytics. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['TechCorp'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
669,"We like your product, but CompetitorZ offers better automation. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
670,"The analytics looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['data compliance'], 'other_entities': []}"
671,"We like your product, but MediPlus offers better remote monitoring. The remote monitoring looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
672,"We like your product, but CompetitorY offers better analytics. The AI engine looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorY'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
673,"We like your product, but TechCorp offers better automation. The AI engine looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['budget'], 'security_keywords': ['encryption'], 'other_entities': []}"
674,"The data pipeline looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
675,"We like your product, but TechCorp offers better AI engine. The AI engine looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['AI engine'], 'pricing_keywords': ['budget'], 'security_keywords': ['data compliance'], 'other_entities': []}"
676,"We like your product, but CompetitorY offers better analytics. The data pipeline looks great, but the budget is too high.",rand,"{'competitors': ['CompetitorY'], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
677,"We like your product, but MediPlus offers better automation. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition","{'competitors': ['MediPlus'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
678,"We like your product, but CompetitorZ offers better AI engine. The data pipeline looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['encryption'], 'other_entities': []}"
679,"We like your product, but CompetitorX offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorX'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
680,Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
681,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
682,"We like your product, but MediPlus offers better remote monitoring. The data pipeline looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
683,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
684,"We like your product, but CompetitorX offers better AI engine. The automation looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorX'], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
685,"We like your product, but TechCorp offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['TechCorp'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
686,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
687,"The analytics looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': ['encryption'], 'other_entities': []}"
688,"We like your product, but TechCorp offers better automation. The data pipeline looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
689,"We like your product, but CompetitorY offers better data pipeline. The analytics looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['analytics', 'AI engine', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
690,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
691,"The analytics looks great, but the pricing model is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
692,"The analytics looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['budget'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
693,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorZ'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
694,"The remote monitoring looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
695,"The AI engine looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
696,"The analytics looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['data compliance'], 'other_entities': []}"
697,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
698,Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
699,"We like your product, but CompetitorX offers better automation. The analytics looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'remote monitoring', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
700,"We like your product, but MediPlus offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['MediPlus'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
701,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
702,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
703,"We like your product, but MediPlus offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['MediPlus'], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
704,"The data pipeline looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
705,"The automation looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
706,Is your solution encryption? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
707,"We like your product, but TechCorp offers better automation. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition","{'competitors': ['TechCorp'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
